"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44348438681,956;2;0;1;170;;;;;;;;;"01.06.2021 10:31:42";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44350560015,9954;2;6;1;170;;;;;;;;;"03.06.2021 13:26:25";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44351419608,9699;1;1;3;110001;;;;;;;;;"04.06.2021 10:04:14";"Ga naar bedrijfstoestand 'online'.";
44351419636,4815;1;1;3;140000;"HMI_Connection_HN_Lokaal";"192.168.132.1";"0";"1";;;;;"04.06.2021 10:04:17";"Verbinding opgebouwd: HMI_Connection_HN_Lokaal, station 192.168.132.1, rack 0, plaats 1.";
44358699145,6944;2;1;1;17;;;;;;;;;"11.06.2021 16:46:46";"Beveiliging windmeter (Q14) aangesproken";"HMI_Connection_HN_Lokaal"
44358699145,6944;2;1;1;76;;;;;;;;;"11.06.2021 16:46:46";"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_HN_Lokaal"
44358699597,1412;2;0;1;17;;;;;;;;;"11.06.2021 16:47:25";"Beveiliging windmeter (Q14) aangesproken";"HMI_Connection_HN_Lokaal"
44358699597,1412;2;0;1;76;;;;;;;;;"11.06.2021 16:47:25";"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_HN_Lokaal"
44358773732,7083;2;1;1;170;;;;;;;;;"11.06.2021 18:34:11";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358773755,8565;2;0;1;170;;;;;;;;;"11.06.2021 18:34:13";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358773767,4306;2;1;1;170;;;;;;;;;"11.06.2021 18:34:14";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358773790,5903;2;0;1;170;;;;;;;;;"11.06.2021 18:34:16";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358773860,0579;2;1;1;170;;;;;;;;;"11.06.2021 18:34:22";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358773894,7685;2;0;1;170;;;;;;;;;"11.06.2021 18:34:25";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358773929,5023;2;1;1;170;;;;;;;;;"11.06.2021 18:34:28";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358773952,6505;2;0;1;170;;;;;;;;;"11.06.2021 18:34:30";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358816898,0324;2;6;1;17;;;;;;;;;"11.06.2021 19:36:20";"Beveiliging windmeter (Q14) aangesproken";"HMI_Connection_HN_Lokaal"
44358816898,0324;2;6;1;76;;;;;;;;;"11.06.2021 19:36:20";"ModeSel Diag_GeenVrijgaveBedienmode afstand brugpost";"HMI_Connection_HN_Lokaal"
44358816898,0324;2;6;1;170;;;;;;;;;"11.06.2021 19:36:20";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44358837058,2407;2;1;1;193;;;;;;;;;"11.06.2021 20:05:22";"SVS (4) Diag_UitRood";"HMI_Connection_HN_Lokaal"
44358837058,2523;2;1;1;25;;;;;;;;;"11.06.2021 20:05:22";"Storing Failsafe ingangskaart 132P1 (Rackx Slotx)";"HMI_Connection_HN_Lokaal"
44358837058,2523;2;1;1;26;;;;;;;;;"11.06.2021 20:05:22";"Storing Failsafe ingangskaart 136P1 (Rackx Slotx)";"HMI_Connection_HN_Lokaal"
44358837058,2523;2;1;1;27;;;;;;;;;"11.06.2021 20:05:22";"Storing Failsafe ingangskaart 140P1 (Rackx Slotx)";"HMI_Connection_HN_Lokaal"
44358837058,2523;2;1;1;28;;;;;;;;;"11.06.2021 20:05:22";"Storing Failsafe ingangskaart 144P1 (Rackx Slotx)";"HMI_Connection_HN_Lokaal"
44358837058,2523;2;1;1;29;;;;;;;;;"11.06.2021 20:05:22";"Storing Failsafe ingangskaart 148P1 (Rackx Slotx)";"HMI_Connection_HN_Lokaal"
